curso,ano,prova,tipoquestao,idquestao,objeto,objetodetalhado,gabarito,acertoscurso,acertosregiao,acertosbrasil,acertosdif,texto,imagem,urlprova,urlsintese,urlcurso,urlcrop
SI,2017,Específica,Discursiva,D3,Governança de Tecnologia da Informação e Comunicação.,"P 01: comprometido com sua atualização contínua e aprimoramento de suas competências e habilidades, considerando o mundo globalizado do trabalho;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 09: Governança de Tecnologia da Informação e Comunicação.",-,24,"19,5","17,7","6,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Discursiva,D4,Algoritmos e Estruturas de Dados.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 05: especificar, projetar e implementar software para sistemas de informação;
OC 03: Algoritmos e Estruturas de Dados.",-,60,"32,5","28,3","31,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,https://drive.google.com/uc?export=download&id=1K-8qtxoMM3PIW6TclqIvRgjx8bELuHxJ
SI,2017,Específica,Discursiva,D5,Engenharia de Software. Modelagem de Sistemas de Informação.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 05: especificar, projetar e implementar software para sistemas de informação;
OC 13: Engenharia de Software.
OC 14: Modelagem de Sistemas de Informação.",-,"31,2","16,7",15,"16,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,9,Engenharia de Software.,"P 01: comprometido com sua atualização contínua e aprimoramento de suas competências e habilidades, considerando o mundo globalizado do trabalho;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 13: Engenharia de Software.",C,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,10,Gerência de Projetos.,"P 03: inovador e empreendedor no atendimento aos desafios e às demandas sociais e organizacionais do Brasil e do mundo;
R 11: gerenciar projetos na área de Sistemas de Informação;
OC 15: Gerência de Projetos.",E,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,11,Banco de Dados.,"P 01: comprometido com sua atualização contínua e aprimoramento de suas competências e habilidades, considerando o mundo globalizado do trabalho;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 19: Banco de Dados.",A,"44,0",23,"21,6","22,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,12,Informática e Sociedade.,"P 02: sensível e crítico frente às questões sociais, profissionais, legais, éticas, políticas, humanísticas e tecnológicas
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 22: Informática e Sociedade.",C,"40,0","51,5",52,"-12,0",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,13,Arquitetura empresarial e da tecnologia da informação.,"P 03: inovador e empreendedor no atendimento aos desafios e às demandas sociais e organizacionais do Brasil e do mundo;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 08: Arquitetura empresarial e da tecnologia da informação.",E,"32,0","36,8","39,3","-7,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,14,Fundamentos de Sistemas de Informação e Teoria Geral de Sistemas.,"P 04: consciente e crítico sobre o papel da Tecnologia da Informação e Comunicação (TIC) nos contextos sociais e organizacionais;
R 01: analisar e modelar contextos sociais e organizacionais, distinguindo seus elementos constituintes e dependências entre eles;
OC 06: Fundamentos de Sistemas de Informação e Teoria Geral de Sistemas.",-,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,15,Arquitetura da informação.,"P 04: consciente e crítico sobre o papel da Tecnologia da Informação e Comunicação (TIC) nos contextos sociais e organizacionais;
R 02: gerir a arquitetura de tecnologia da informação, considerando seu alinhamento aos objetivos estratégico-organizacionais;
OC 07: Arquitetura da informação.",A,"60,0",47,"50,1","9,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,16,Interação Humano-Computador.,"P 04: consciente e crítico sobre o papel da Tecnologia da Informação e Comunicação (TIC) nos contextos sociais e organizacionais;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 17: Interação Humano-Computador.",D,"92,0","73,3","72,2","19,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,17,Qualidade de Processo e Produto.,"P 04: consciente e crítico sobre o papel da Tecnologia da Informação e Comunicação (TIC) nos contextos sociais e organizacionais;
R 07: avaliar a qualidade de processos e produtos de software para Sistemas de Informação;
OC 16: Qualidade de Processo e Produto.",B,"84,0","74,5","73,8","10,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,18,Arquitetura empresarial e da tecnologia da informação.,"P 04: consciente e crítico sobre o papel da Tecnologia da Informação e Comunicação (TIC) nos contextos sociais e organizacionais;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 08: Arquitetura empresarial e da tecnologia da informação.",B,"28,0","36,2","37,8","-9,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,19,Pesquisa Operacional.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 01: analisar e modelar contextos sociais e organizacionais, distinguindo seus elementos constituintes e dependências entre eles;
OC 05: Pesquisa Operacional.",B,"76,0","48,1",46,"30,0",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,20,Lógica Matemática e Matemática Discreta.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 04: analisar problemas e propor soluções algorítmicas;
OC 01: Lógica Matemática e Matemática Discreta.",E,"48,0","33,9","35,9","12,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,https://drive.google.com/uc?export=download&id=1KV452QuIudE2zh2JjvBCDhCjjr4h2uaq
SI,2017,Específica,Objetiva,21,Modelagem de Sistemas de Informação.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 05: especificar, projetar e implementar software para sistemas de informação;
OC 14: Modelagem de Sistemas de Informação.",B,"40,0","31,2","30,2","9,8",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,22,Sistemas Operacionais; Redes de Computadores e Sistemas Distribuídos.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 10: gerenciar o desempenho das aplicações e a escalabilidade dos sistemas de informação;
OC 11: Sistemas Operacionais;
OC 12: Redes de Computadores e Sistemas Distribuídos.",D,"72,0","42,3","41,7","30,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,23,Banco de Dados.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 12: especificar, projetar, implementar e gerenciar bases de dados e de informação para as organizações e sociedade;
OC 19: Banco de Dados.",D,"56,0","42,9","45,5","10,5",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,24,Probabilidade e Estatística.,"P 08: responsável no emprego dos recursos financeiros, tecnológicos, pessoais, ambientais, metodológicos e econômicos envolvidos em seu contexto de atuação
R 13: analisar dados e informações para subsidiar a tomada de decisão e a gestão do conhecimento organizacional
OC 02: Probabilidade e Estatística.",B,"44,0","26,5","27,5","16,5",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,25,Gestão de Processos de Negócio.,"P 06: criativo na proposição de soluções em sistemas de informação, buscando múltiplas perspectivas e alternativas nas diversas áreas do conhecimento.
R 06: implantar, evoluir e administrar sistemas de informação;
OC 21: Gestão de Processos de Negócio.",B,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,26,"Fundamentos, Paradigmas e Linguagens de Programação.","P 06: criativo na proposição de soluções em sistemas de informação, buscando múltiplas perspectivas e alternativas nas diversas áreas do conhecimento.
R 04: analisar problemas e propor soluções algorítmicas;
OC 04: Fundamentos, Paradigmas e Linguagens de Programação.",E,"60,0",49,49,"11,0",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,https://drive.google.com/uc?export=download&id=1KV452QuIudE2zh2JjvBCDhCjjr4h2uaq
SI,2017,Específica,Objetiva,27,Gestão do Conhecimento.,"P 06: criativo na proposição de soluções em sistemas de informação, buscando múltiplas perspectivas e alternativas nas diversas áreas do conhecimento.
R 13: analisar dados e informações para subsidiar a tomada de decisão e a gestão do conhecimento organizacional
OC 20: Gestão do Conhecimento.",A,"72,0","53,1","50,8","21,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,28,Gerência de Projetos.,"P 07: empático, comunicativo, colaborativo, flexível e assertivo na interlocução com as partes interessadas na solução de problemas sociais e organizacionais;
R 11: gerenciar projetos na área de Sistemas de Informação;
OC 15: Gerência de Projetos.",E,"48,0","42,1","40,3","7,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,29,Gestão de Processos de Negócio.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 03: prospectar, elaborar e avaliar soluções de tecnologia da informação, considerando aspectos estratégicos, tecnológicos, econômicos, sociais e ambientais;
OC 21: Gestão de Processos de Negócio.",A,-,-,-,-,,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,30,Engenharia de Software; Qualidade de Processo e Produto.,"P 06: criativo na proposição de soluções em sistemas de informação, buscando múltiplas perspectivas e alternativas nas diversas áreas do conhecimento.
R 05: especificar, projetar e implementar software para sistemas de informação;
OC 13: Engenharia de Software;
OC 16: Qualidade de Processo e Produto.",C,"56,0","52,6","54,6","1,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,31,Redes de Computadores e Sistemas Distribuídos.,"P 08: responsável no emprego dos recursos financeiros, tecnológicos, pessoais, ambientais, metodológicos e econômicos envolvidos em seu contexto de atuação
R 08: gerenciar e manter infraestrutura de TICs para sistemas de informação;
OC 12: Redes de Computadores e Sistemas Distribuídos.",B,"48,0","52,1","49,3","-1,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,32,Governança de Tecnologia da Informação e Comunicação.,"P 08: responsável no emprego dos recursos financeiros, tecnológicos, pessoais, ambientais, metodológicos e econômicos envolvidos em seu contexto de atuação
R 06: implantar, evoluir e administrar sistemas de informação;
OC 09: Governança de Tecnologia da Informação e Comunicação.",D,"28,0","28,5","29,9","-1,9",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,33,Segurança e Auditoria de Sistemas.,"P 08: responsável no emprego dos recursos financeiros, tecnológicos, pessoais, ambientais, metodológicos e econômicos envolvidos em seu contexto de atuação
R 09: gerenciar, estabelecer e manter a segurança dos sistemas de informação;
OC 18: Segurança e Auditoria de Sistemas.",C,"92,0","84,3",83,"9,0",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,34,Arquitetura e Organização de Computadores.,"P 08: responsável no emprego dos recursos financeiros, tecnológicos, pessoais, ambientais, metodológicos e econômicos envolvidos em seu contexto de atuação
R 10: gerenciar o desempenho das aplicações e a escalabilidade dos sistemas de informação;
OC 10: Arquitetura e Organização de Computadores.",C,"68,0","45,6","43,7","24,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Específica,Objetiva,35,Algoritmos e Estruturas de Dados.,"P 05: proativo e eficaz na identificação e solução de problemas sociais e organizacionais, com visão sistêmica e pensamento computacional;
R 04: analisar problemas e propor soluções algorítmicas;
OC 03: Algoritmos e Estruturas de Dados.",C,"80,0","55,4","54,8","25,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2014,Geral,Discursiva,D1,,,-,"64,5","55,9","53,5",11,,,http://download.inep.gov.br/educacao_superior/enade/provas/2014/39_sistemas_informacao.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2014/2014_rel_sistemas_de_informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2014/relatorio/cursos/4006005824316907.pdf,
